text,ipc_codes,APPLN_YR
"DEVICE AND METHOD FOR GENERATING VIBRATIONS A device and method for generating vibrations in a portable terminal are disclosed. The device for generating vibrations comprises: a haptic actuator which is driven by a driving signal so as to generate vibrations; and a control unit for applying the driving signal to the haptic actuator, causing the haptic actuator to have a high impedance and controlling a start time of the driving signal of non-periodic pulses to be applied to the haptic actuator, on the basis of a counter-electromotive force signal generated by the haptic actuator.",H02N2,2015
"BRAIN-CONTROLLED WEARABLE DISPLAY DEVICE AND BRAIN-CONTROLLED DISPLAY METHOD The present disclosure provides a brain-controlled wearable display device and a brain-controlled display method. The brain-controlled wearable display device includes a display panel and a display control circuit; the brain-controlled wearable display device further includes a brain control circuit connected with the display control circuit, and the brain control circuit is configured to generate a control instruction according to a brain wave so that the display control circuit controls the display panel according to the control instruction. The brain-controlled display method is applied to the aforementioned brain-controlled wearable display device and comprises: generating, by the brain control circuit, a control instruction according to a brain wave; and controlling, by the display control circuit, the control panel according to the control instruction.",G06F3,2020
"WIRELESS POWER TRANSMITTER, WIRELESS POWER RECEIVER, AND CONTROL METHODS THEREOF A method for controlling a wireless power transmitter configured to transmit power to a wireless power receiver is provided. The method includes applying a detection power for detecting change in load of the wireless power transmitter caused by the arrangement of the wireless power receiver; detecting the change in load of the wireless power transmitter at first time point; receiving a first signal from the wireless power receiver at second time point; and determining whether or not to transmit a second signal to the wireless power receiver based on at least one of: the difference between the first time point and the second time point, and a reception intensity of the first signal.
",H02J7,2016
"Method for removal of bulk metal contamination from III-V semiconductor substrates The present invention provides a single step method for removing bulk metal contamination from III-V semiconductor substrates. The method comprises immersing a metal contaminated III-V semiconductor substrate in a mixture of sulfuric acid and peroxide with a volume ratio x:y H2SO4:H2O2, with x being between 3 and 9 and y being 1. After treating the III-V semiconductor substrates with the method according to embodiments of the present invention, the bulk metal contamination may substantially completely be removed from the substrate while a surface roughness of the substrate after treatment of below 0.5 nm RMS (2 µm x 2 µm) is obtained. The present invention furthermore provides a method for manufacturing a semiconductor device using the method for removing bulk metal contamination according to embodiments of the invention before performing processing steps for forming the semiconductor device.
","H05K3, C23F1, C23F3, H01L21",2008
"METHOD AND APPARATUS FOR IMPROVING UPLINK TRANSMISSION IN A WIRELESS COMMUNICATION SYSTEM Methods and apparatuses for improving uplink transmissions in a wireless communication system are disclosed herein. Preferably, a user equipment receives an indication indicating a type of data that can be transmitted using a cooperation mode. A first data is transmitted using the cooperation mode, in which the first data belongs to the type of data using the cooperation mode based on the indication. A second data is transmitted without using the cooperation mode, in which the second data does not belong to the type of data using the cooperation mode based on the indication. The cooperation mode is enabled when transmitting the first and second data.
",H04W76,2017
"OPTICAL PICKUP DEVICE AND OPTICAL DRIVE DEVICE An optical pickup device capable of improving playback performance in L2-layer at a time of playback of a triple-layer structure optical disc is provided. The optical pickup device includes a semiconductor laser that emits a laser beam, and an object lens that concentrates the laser beam emitted from the semiconductor laser on the optical disc. In this optical pickup device, an optical axis of the object lens is inclined with respect to an optical axis of the laser beam that is incident on the object lens so as to generate flares caused by coma aberration on an entrance side in a forward direction of pits of the optical disc.",G11B7,2017
"MOBILE COMMUNICATION SYSTEM An objective of this invention is to appropriately perform a connection reestablishment procedure in a network adapted to an MFBI function. In a mobile communication system of the invention, a radio base station (eNB#A) is configured, when the radio base station (eNB#A) determines that a mobile station (UE) is adapted to the MFBI function, to select a band out of bands which are supported by a cell under a radio base station (eNB#B), the band having the highest priority to be selected by the mobile station (UE) in an ""RRC_IDLE state"", and to send the radio base station (eNB#B) ""HO Preparation"" including KeNB* created by using ""DL EARFCN"" of the selected band.","H04W12, H04W36, H04W8, H04W92",2016
"A LOCKING AND PIVOTING LATCH FOR A FENCE SUPPORT POST A support post for releasably securing between a ceiling structure and a floor structure, the support post comprising a first elongate member telescopically mounted to a second elongate member that comprises a portion of a fence panel, a ceiling engaging member positioned at the upper end of said first elongate member and a floor engaging member positioned at the lower end of said second elongate member, a spring biasing said ceiling engaging member in a direction away from said upper end of said first elongate member, a lock, when in its locked position said lock maintaining said spring in a compressed configuration and when in its unlocked position said lock releasing said spring from its compressed configuration and permitting said spring to apply a biasing force to said ceiling engaging member urging said ceiling engaging member away from said upper end of said first elongate member, and a latch, said latch allowing for the telescopic movement of said first elongate member relative to said second elongate member when said lock is in said locked position, said latch resisting the telescopic movement of said first elongate member relative to said second elongate member when said lock is in its unlocked position.
","E04G25, E04G5, E04H17, E04G21, E01F13",2017
"CONTROL OF EXHAUST ENERGY IN INTERNAL COMBUSTION ENGINES Methods of improving SCR performance in heavy duty vehicles 100 may use multiple interdependent control techniques to increase engine exhaust temperatures in a fuel efficient manner. One method combines cylinder deactivation and mechanical loading of an engine by an electrical generator 108 used to input energy into an exhaust stream to manipulate the exhaust temperature through the combined effect of modified air-to-fuel ratio and supplemental energy input. In particular, cylinder deactivation may be used to modify the engine air flowrate and the electric generator 108 may be used to apply mechanical load on the engine to manipulate the engine fuel flow rate to control the engine air-to-fuel ratio and thereby increase exhaust temperatures. The exhaust temperatures may be further increased by using the electrical generator 108 to add the energy generated as input energy to the exhaust stream.
","B01J35, F01N3, F01N9, F02D41",2020
"A collapsible lightweight container The present invention concerns a container (1) suitable for packing and dispensing a non flowable food product, said container comprising a collapsible container body (2) and a container neck (3) with a dispensing opening (4), said container body having an internal volume (V1) when said body is in fully compressed configuration and an internal volume (V2) when said body is in a fully expanded configuration, characterized in that:
(i) said container is manufactured by injection-blowing process out of a thermoplastic material chosen from the list comprising:
polyethyleneterephtalate (PET), polyethylenenaphtalate (PEN), polyethyleneterephtalateglycol (PETG), polypropylene (PP), or a combination thereof,
(ii) said body walls (2) have a thickness not higher than 100 μm, and
(iii) the ratio V1/V2 is lower than, or equal to, 0.05.
",B65D1,2008
"Adjustable intraocular lens Improved adjustable intraocular lenses are disclosed, in which the optic(s) can be rotated post-operatively using manual methods; controlled pulses of laser radiation or micromotors to achieve improved focus and astigmatic correction.",A61F2,1999
"Rotor thrust balancing A turbine construction in which the axial loading on the rotor including the compressor and turbine resulting from cooling air pressure in the compartment (64) between the compressor and turbine is balanced by making the compressor and turbine areas exposed to the cooling air of equal area as by having the seals (32, 63) at compressor and turbine ends of the compartment (64) equal in radius with respect to the air of the rotor.",F01D3,1986
"SKI-BOOT OR OFF-TRACK SKI BOOT WITH PERFECTED FAIRLEADS A ski boot or off-track ski boot (4) comprising a lower part or foot portion (8), suitable to embrace the foot of the user and an upper portion or leg portion (12), suitable to embrace the lower leg of the skier, the foot portion (8) and/or the leg portion (12) being provided with flaps (24,28) separate and facing each other, provided with fastening means (32) to allow the opening, closing and tightening of said flaps (24, 28). Advantageously, at least one of said fastening means (32) is attached to a flap (24, 28) by means of a cable (56), said cable (56) being at least partially inserted in a seat (60) delimited by a fairlead (64), wherein the fairlead (64) comprises an insert (68) attached to the flap (24, 28) and a removable platelet (72), joined and superposed to a portion of the insert (68).
","A43C11, A43B5",2016
"STRESS REDUCTION LAYER BASED ON COATING TECHNIQUE The present invention provides a sensor and method for manufacturing the sensor including a first component comprising a first material with a predetermined first value of coefficient of thermal expansion (CTE), a second component over the first component, the second component comprising a second material with a predetermined second value of CTE different from the first value. An interlayer is provided by molecular layer deposition, for minimizing stress caused by coefficient of thermal expansion mismatch between the first and second components. The interlayer includes an organic-inorganic hybrid polymer compound.
","G01R33, G01R15",2023
"Power amplifier for mobile telecommunications An RF power amplifier for mobile telecommunications including an unequal power divider (4) coupled between an RF power amplifier input (2) and inputs of first, second and third amplifying paths (12,14, 16), the outputs of the amplifying paths being coupled through an impedance network (24) to an RF power amplifier output (28), each amplifying path having respectively different first, second and third power output levels, for example in the ratio 1: 0.25: 0.1, and switching means for selectively switching said amplifying paths, so that in operation, one of the amplifying paths is operative at any one time, and the others are inoperative. The amplifying paths include transistor power amplifiers (20), with a bias switching arrangement (64) for switching off the transistor and associated amplifying path. The impedance network includes phase offset transmission line lengths (26, 30, 32) coupled to the outputs of the transistor amplifiers for phase adjustment, and a chain of transmission line stubs (34, 36, 38) for coupling the outputs to ground via an open circuit impedance, for stability.
","H03F3, H01P5",2012
"Method for sending channel quality information in a multi-carrier radio communication system, corresponding user terminal and base station The present invention relates to a method for gaining channel quality information at a base station of a multi-carrier radio communication system having a plurality of orthogonal frequency sub-carriers.
According to the present invention, the method comprises the steps of:
- measuring a Channel Frequency Response at a user terminal;
- approximating the Channel Frequency Response by a real trigonometric polynomial of a predefined degree;
- extracting samples of said approximated Channel Frequency Response in frequency domain at a predefined oversampling factor;
- sending said samples on a signaling channel from said user terminal to said base station;
- transforming the received samples at said base station to time domain;
- performing a windowing operation on the transformed samples in the time domain;
- re-transforming the samples after the windowing operation to frequency domain;
- determining a channel quality information for each of said sub-carriers on a representation in the frequency domain of said re-transformed samples.","H04L1, H04L25",2007
"Element joining pad for semiconductor device mounting board An element joining pad for a semiconductor device mounting board includes a thick-film metalized layer, a barrier layer, and a Ni plating layer. The thick-film metalized layer is selectively formed on a low-temperature sintered board and consists of one of a metal and an alloy which can be sintered at 500°C or more and 1,200°C or less. The barrier layer is formed on the thick-film metalized layer and constituted by one of a Rh plating layer and a Ru plating layer. The Ni plating layer is formed on the barrier layer.",H01L23,1995
"APPARATUS FOR CONNECTING COMPONENTS An example apparatus includes a cable track that includes a first side and a second side that is opposite the first side. The apparatus further includes two or more spacers. The two or more spacers include respective first ends that are attached to the first side of the cable track and respective second ends that are opposite the respective first ends. The two or more spacers further include respective first surfaces between the respective first ends and the respective second ends and respective second surfaces that are opposite the respective first surfaces. The apparatus further includes two or more pins attached proximately to the respective second ends of the two or more spacers. The two or more pins protrude from the respective first surfaces of the two or more spacers and/or protrude from the respective second surfaces of the two or more spacers.
",F16G13,2018
"Structual members in a pedestal array A turbine engine component (10) has a flow path wall (26) and a support wall (28). The turbine engine component (10) has at least one cooling compact heat exchanger (20). Each cooling compact heat exchanger (20) has a pedestal array and at least one structural member (36) within the pedestal array for preventing modal crossing in operation range, for preventing panel bulging, and/or for connecting the flow path wall (26) to at least one outer diameter support structure (37).
",F01D5,2008
"Direct fuel injection spark ignition engine A direct injection engine provided with an injector (15) at a peripheral portion of a combustion chamber to inject at least at a latter stage of a compression stroke in at least in a low engine load and low engine speed condition, wherein a distance (L) from the tip end of the injector to an opposite end the combustion chamber is determined greater than a traveling distance (l1) of an injected fuel for a time period from a start of a fuel injection at the latter stage of the compression stroke to the ignition timing, wherein; an ignition plug (16) is arranged that an ignition gap (16a) is disposed within an injection area of the injector; and, wherein a distance (l2) from the tip end of the injector to the ignition gap is determined smaller than said traveling distance of the injected fuel. An ignitability and combustion stability can be improved to thereby improve a fuel consumption efficiency.","F02B31, F02B23",1998
"Probe for detecting chromosomal aberration induced by chromosomal translocation and method of detecting it A probe for detecting a chromosomal aberration induced by chromosomal translocation, said probe compris­ing a DNA fragment or an RNA fragment containing 50 to 3,000 bases and having the ability to hybridize in a 2 x SSC solution at 40 oC with a DNA sequence existing between the second and third Hind III recognition sites on the bcr gene of a normal human chromosome 22, the Hind III sites being counted from the 3′-side of the first intron of the bcr gene, and a method of detecting a chromosomal aberration in leucocytes and/or lymphocytes, which comprises digesting a genome DNA of leucocytes and/or lymphocytes taken from a subject with a restric­tion endonuclease, subjecting the resulting DNA fragment to Southern hybridization using the aforesaid probe, and then detecting the resulting band.  ","C12Q1, C12N15",1990
"Inflatable ring for supporting friction welding workpieces, and associated systems and methods Inflatable rings for supporting friction welding workpieces, and associated systems and methods. A support assembly (874) for joining multiple workpieces in a representative embodiment includes two drive rings (875), each carried by a corresponding drive ring carriage (876). Each drive ring (875) can include a generally cylindrical body (890) carrying one or more inflatable members (880) that extend around some or all of the circumference of the region enclosed by the drive ring (875). Each of the inflatable members (880) can be inflated with a suitable fluid (e.g., a gas or liquid) so as to expand radially inwardly (as indicated by arrows I) to engage the outer circumference, periphery or other outwardly-facing surface of a workpiece.
","B23K37, B23K20, B23Q3, B25B5",2012
"WALLPAPER COMPOSITION AND WALLPAPER FROM WHICH FLAVOR INGREDIENT IS RELEASED BY HEAT The present disclosure relates to a wallpaper composition and a wallpaper releasing a flavorant component by heat, and more particularly, to a wallpaper composition and a wallpaper which includes a sugar compound-derived moiety and a flavoring compound-derived moiety in a basic skeleton, and includes a compound decomposed into a lactone compound, a sugar compound, and a flavoring compound upon pyrolysis.","C07H17, D21H27, C07H15, D21H17, C09D5, C09D7, D21H19",2023
Purification of hydrocarbonaceous fractions There is disclosed a process for extracting diamondoid compounds from a fluid which comprises separating diamondoid compounds for a diamondoid containing fluid. The fluid typically is natural gas containing diamondoid compounds or a hydrocarbon liquid containing diamondoid compounds in solution.One separation process involves: mixing the gas stream with an aromatics distillate oil; controlling temperature and pressure to maintain part of the mixture in the liquid phase; separating the mixture into a vapour stream and a diamondoid enriched aromatics stream; contacting the vapor stream with silica gel in a first sorption zone to sorb at least partially a portion of the diamondoid compounds from the vapor stream; and recovering diamondoid compounds from the silica gel in a second sorption zone by contacting silica gel with a regeneration fluid in which diamondoid compounds are at least partially soluble.Three methods are disclosed in recovering diamondoid compounds from the diamondoid-enriched aromatics stream. One involves absorption in the pores of a zeolite porous solid. Another involves extraction of the aromatics component. The third involves separation by a thermal gradient diffusion process.  ,"C10G25, C10G21, C10L3, C07C13",1990
"Injection engine fuel supply system There is described a fuel supply system (1) for an engine (2), having a fuel tank (3); a fuel injector (4); an injection pump (5) having an inlet (5a) connected to the fuel tank (3) by an intake line (6), and an outlet (5b) connected to the fuel injector (4) by a delivery line (7); and an engine cut-off device (12) for cutting off the engine (2) when the lubricating oil in the oil sump (17) of the engine (2) is below a desired minimum level. More specifically, the engine cut-off device (12) is defined by a pulse-operated pump (12) having an inlet (14a) communicating with an air-containing environment (3); an excitation port (13a) communicating with the oil sump (17) of the engine (2) along an excitation conduit (18) having an outlet section (18a) located substantially at the minimum lubricating oil level; and an outlet (14b) communicating with the intake line (6).","F01M11, F01M1",2003
"MANUFACTURING METHOD OF LAMINATE PRINTED ARTICLE, AND LAMINATE PRINTED ARTICLE A method for manufacturing laminated printed matter includes the steps of ejecting, by an ink jet process, a colorant-containing active-radiation-curable ink composition onto a recording medium; ejecting, by an ink jet process, a colorant-free or white-pigment-containing activc-radiation-curable ink composition into a non-image area adjoining an image area formed by the colorant-containing ink composition; curing the ejected colorant-containing ink composition and the ejected colorant-free or white-pigmcnt-containing ink composition by irradiation with active radiation to form an image layer; and laminating a lamination film on a surface on which the image layer has been formed. Laminated printed matter has, in sequence, an image layer and a lamination film. The image layer is composed of an image area and a non-image area. The non-image area is formed of a cured product selected from the group consisting of transparent cured products and white cured products. The non-image area adjoins a side of the image area in a direction along the plane of the recording medium.","B41J2, B41M5, C09D11, B05D3, B05D1",2019
"WASTE BIN LID PROVIDED WITH WASTE INTRODUCTION OPENING A waste bin lid comprises a central area (Ac) surrounded by a downward-facing perimeter edge (1); said central area (Ac) comprising a flat portion (2) frontally defined by a border (2a) with transverse direction with respect to said perimeter edge (1), and a slide (3) ending in a vertical window (4) disposed under said flat portion (2), starting from said rectilinear front border (2a).
",B65F1,2018
"Improved absorbent paper product and method of making An improved multi-ply absorbent consumer paper product (12) includes a first ply of absorbent paper web (14) having a first substantially regular pattern of pixel-like projections defined thereon and a second ply of absorbent paper web (16) having a second substantially regular pattern of pixel-like projections defined thereon. The second ply (16) is laminated to the first ply (14) so that the pixel-like projections of the first ply (14) are positioned substantially in abutment with corresponding pixel-like projections of the second ply (16), to form projection couples. A glue/dye material (38) is positioned between the first (14) and second (16) plies to selected projection couples (50), but not elsewhere on the first (14) and second (16) plies, in a predetermined decorative pattern. This ensures that the decorative pattern is defined in pixel-like fashion and will visibly coincide with the interface between the (i) relative puffiness of the unglued areas and the (ii) relative compaction of the glued areas, creating a striking visual effect. A method of making the product is also disclosed.","D21H27, B31F1",1996
"Improvements in and relating to fusion control systems The invention provides for a method and apparatus advantageous in electrofusion operations in particular. The invention includes a method of forming a pipeline through fusion, the method comprising the acts of arranging a first component and a second component in contact with one another, one or both of the components being heated under the control of a control unit, the control unit being connected to a power supply, the first component and second component being provided in contact with one another with at least one of the first or second component heated, the first and second component being allowed to cool thereby joining the first component to the second component, wherein one or more pieces of information relating to the fusion are conveyed from the control unit to a different location by a wireless transmitter and / or to the control unit from a different location by a wireless transmitter.The method may be used to report the operation of the electrofusion apparatus to a remote location and / or receive information from a remote location, for instance operating commands and / or audio signals.","G08C17, B29C65, B29L23:00",2001
"Controlled access to software applications and/or data A system (400) for controlling access to or distribution of software and/or data among a plurality of client nodes (401), the system (400) comprising a store (402) for storing software that is to be made available to pre-determined client nodes (401), together with a list (407) of identifiers, each of which uniquely identifies one of the pre-determined nodes, and a client application at each client node (401) that is configured to identify whether the unique identifier (404) for that node (401) is included on the list (407) and install or run the software only if it is.",G06F1,2004
"Dipyridoxyl phosphate nuclear magnetic resonance imagery contrast agents N,N′-bis-(pyridoxal-5-phosphate)-alkylenediamine-­N,N′-diacetic acids, N,N′-bis-(pyridoxal-5-phosphate)-­1,2-cycloalkylenediamine N,N′-diacetic acids, and N,N′-bis-(pyridoxal-5-phosphate)-1,2-arylenediamine-­N,N′-diacetic acids, the corresponding monophosphate compounds and monoacetic acid compounds, and their salts and esters form stable, highly soluble chelates with paramagnetic metal ions, and are highly effective NMRI contrast agents. Preferred contrast agents are paramagnetic ion chelates of N,N′-bis-(pyridoxal-5-phosphate)ethylene diamine-N,N′-diacetic acid, N,N′-bis-(pyridoxal-­5-phosphate)trans-1,2-cyclohexylenediamine-N,N′-diacetic acid, N,N′-bis-(pyridoxal-5-phosphate)trans-1,2-arylened­iamine-N,N′-diacetic acid, and the soluble calcium salts thereof.Novel intermediates for forming these compounds are N,N′-bis(pyridoxal-5-phosphate)alkylenediimines, N,N′-bis(pyridoxal-5-phosphate)alkylenediamines, N,N′-bis(pyridoxal-5-phosphate)-1,2-cycloalkylenedi­imines, N,N′-bis(pyridoxal-5-phosphate)-1,2-cycloalky­lenediamines, N,N′-bis(pyridoxal-5-phosphate)-1,2-ary­lenediamines, and the corresponding monophosphate compounds.  ","C07F15, A61K49, C07F9, C07F13, C07F11",1988
"OPTICAL TRANSCEIVER AND COHERENT OPTICAL RECEIVING SYSTEM Embodiments of the present invention provide an optical transceiver and an optical coherent receiving system. The optical transceiver includes an optical interface, an optical receiver, and a polarization-maintaining optical waveguide, where the optical receiver includes a mixer, an optical-to-electrical converter, and a digital signal processor. The optical interface is configured to receive first local oscillator light from a first laser outside the transceiver; the mixer is configured to receive the first local oscillator light from the optical interface and receive first signal light modulated on laser light emitted by the laser outside the transceiver; the polarization-maintaining optical waveguide is configured to connect the optical interface and the optical receiver, where a polarization state of the first local oscillator light remains unchanged when being transmitted in the polarization-maintaining optical waveguide; the optical-to-electrical converter and an analog-to-digital converter are configured to perform optical-to-electrical conversion and analog-to-digital conversion on the mixed light to obtain a digital signal that carries data; and the digital signal processor is configured to process the digital signal to obtain the data. The solution in the embodiments of the present invention can reduce costs and phase noise.",H04B10,2021
"A MEDICINAL COMPOSITION HAVING ANTIBIOTIC, ANTI-INFLAMMATORY, AND WOUND HEALING ACTIVITY A medicinal composition having antibiotic, anti-inflammatory, and wound healing activity that inhibits the growth of pathogens by means of a synergistic association of plant extracts of Matricaria recutita, Psidium guajava L., and Plantago major L., and, optionally, Casearia sylvestris SW, for topical application either in the form of biofilm or in the solid dosage form without the use of preservatives is described.
","A61K36, A61P17, A61P31, A61P29",2017
"Bioabsorbable Surgical Composition A bioabsorbable macromer composition comprising: a diisocyanate-functional bioabsorbable polymer of the general formula:
         R2-[A]v-R1-[A]v-R2     (II)
wherein R1 is a polymer selected from the group consisting of polysaccharides and polyols, A is a bioabsorbable group, R2 is an isocyanate group, and v is a number from 1 to 20; and at least one functionalized polyol of the formula
         R7-[(R8)n-R9]d     (VII)
wherein R7 is a polyol, R8 is a bioabsorbable group, Rg is an isocyanate group, n is a number from 1 to 10, and d is a number from 2 to 4.","A61F2, C08G18, A61L26, A61L27, A61L24",2013
"A method of chemically crosslinking unsaturated polymers This invention is a method of curing unsaturated polymers which have a limited amount of functional groups, which polymers undergo a crosslinking reaction with amino resins and which polymers preferably comprise at least one conjugated diolefin monomer, said method comprising mixing said polymer with an amino resin in the presence of a proton-donating acid catalyst.","C08L61, C08J3, C08L101, C08L61:20",1992
"Apparatus and method for setting user interface according to user preference Provided are an apparatus and method for setting a user interface according to user preferences, more particularly, an apparatus and method for setting the user interface according to the user preferences, in which the user interface can be set up by reflecting the user preferences, and the set user interface is synchronized in order to be used in other devices. The apparatus includes a user-interface-configuration unit (130) that is notified of an update and rearrangement of a predetermined user interface element by a user, a user-information-management unit (120) that manages security information of the user that reconfigures the user interface element, and a user-interface-tree-management unit (150) that reconfigures a predetermined user-interface tree based on the reconfigured user-interface element.
",G06F9,2007
"Thermal transfer recording apparatus A recording apparatus of thermal transfer type includes a thermal head (5) having a plurality of linearly-arrayed heat generating elements selectively generating heat in response to the application of a character and pattern information signal providing the thermal transfer energy, and a carrier (1) having a coating of a thermally transferable recording material. A recording medium (7) recording character and pattern information is disposed between the carrier (1) and a platen roller (6) to be transported by the platen roller.At the time of recording character and pattern information on the recording medium (7), the thermal transfer energy is applied to the heat generating elements corresponding to the character and pattern information signal while pressing the thermal head against the platen roller. During the recording, the thermal transfer energy is controlled to correspond to the required density tone of the character and pattern information to be recorded.",H04N1,1985
"Carboxylated stilbenes for activating AMPK and sirtuins The present invention relates to the use of certain stilbene derivatives for cosmetic and dermatological applications, in particular prevention and/or treatment of skin aging, as well as to cosmetic and dermatological compositions containing such stilbene derivatives.","A61K8, A61Q19, A61P17",2014
"Weight sensing device for a microwave oven A device for sensing the weight of food to be cooked in a microwave oven has a bracket (20) supporting a motor assembly (10) having a motor axis (11). The motor axis (11) supports and is arranged to rotate a tray (6) in which food to be cooked is placed. The motor axis (11) is thus subjected to the weight of the food. The bracket (20) has two extending pieces (24a, 24b) which are separated from and spaced above its bottom (21). An upper electrode plate (30) is fixed to the extending pieces (24a, 24b) whilst a printed circuit board (40) is fixed to the bottom (21). The printed circuit board (40) is thus spaced from the upper electrode plate (30). The printed circuit board (40) carries a lower electrode plate (41) which is thereby spaced from the upper electrode plate (30) to form a capacitor whose capacitance is used to determine the weight of the food in the tray (6). An initial food weight is set by varying the overlapping area of the two electrode plates (30, 41) by sliding the printed circuit board (40) in its own plane. The weight of the food is then sensed by alterations in capacitance caused by the depression of an elastically supported area (32) of the upper electrode plate (30) by way of the motor axis (11). Since no weight is applied to the printed circuit board (40) deformation of the printed circuit board is prevented. Furthermore, the distance between the two electrode plates may be maintained constant.","G01G7, G01G19",1996
Synthetic immunogen The present invention concerns novel immunogens. These immunogens comprise novel compounds which consist of an antigen or antigenic determinant coupled to an amphiphilic adjuvant molecule and optionally also free amphiphilic adjuvant molecules. An advantageous feature of these novel immunogens is the presence of both an excellent immunogen activity as well as a pronounced adjuvant activity in a single complex.,A61K39,1986
"ROOF MONITORING SYSTEM WHERE A SCANNING DEVICE IS MOVED TO DIFFERENT ZONES A leak in the membrane of a generally horizontal roof support deck includes dividing the membrane into separate zones and locating a sensor to detect moisture underneath the membrane. A movable scanning device carried by a worker has a power supply antenna for supplying power by an electromagnetic wave to the sensor and the worker moves the scanning device to selected ones of the zones. At each selected zone the power supply antenna activates the sensor in the zone and the sensor to emits signals related to the moisture underneath the membrane as detected by the sensor device which are detected and recorded at the mobile scanning device.
","G01M3, E04D13",2023
"ABNORMAL ELECTRICAL CONDUCTION-BLOCKING APPARATUS USING PHOTODYNAMIC THERAPY (PDT) There are provided an apparatus and a method for blocking abnormal conduction in the cardiac muscle using a photodynamic therapy or for treating arrhythmia. There is provided a catheter ablation apparatus for the treatment of arrhythmia using a photodynamic therapy, comprising a catheter leading a photoradiation unit to an abnormal electrical conduction site or a hyperexcitability occurring site in the cardiac muscle of a test subject in which a photosensitizer is present by administering the photosensitizer beforehand and which causes arrhythmia, means for generating a light ray with which the abnormal electrical conduction site or the hyperexcitability occurring site is irradiated, and means for transmitting the light ray to the abnormal electrical conduction site or the hyperexcitability occurring site, wherein the photosensitizer used is a water-soluble chlorine-based photosensitizer and the light ray used is a light ray having an excitation wavelength equal to that of the photosensitizer.","A61N5, A61B18, A61B17",2009
"RELEASE AGENT FOR HOT-FORGING DIE, APPLICATION METHOD FOR SAME, AND APPLICATION DEVICE A release agent for a hot-forging die, containing micronanobubbles.","B21J3, C10M173, B21J13, B05D3, B05C11, B05D7, B05D1, F16N15",2019
"Antiperspirant formulations containing quaternary ammonium polymer Stable antiperspirant compositions comprise an antiperspirant and a polymer of dimethyldiallyl ammonium chloride, which serves to increase the residual amount of the antiperspirant on a surface such as the skin.  ",A61K7,1987
"PLASMA ARC WELDING APPARATUS AND WELDING METHOD USING THE SAME A plasma arc welding apparatus which includes a plasma torch, and a space retaining member fixed to the plasma torch and positioned at a free end portion thereof between a free end of the plasma torch and a material to be welded, and which is used to carry out a welding operation by pressing the free end portion of the space retaining member against the material to be welded. A plasma arc welding method used to carry out a welding operation by pressing a free end portion of a space retaining member against a material to be welded, by using a plasma arc welding apparatus including a plasma torch, and a space retaining member fixed to a base portion of the plasma torch and positioned at a free end portion thereof between a free end portion of the plasma torch and a material to be welded.",B23K10,1996
"THREADED JOINT ARRANGEMENT A threaded joint arrangement with visual and tactile indication of correct tightening force, the threaded joint arrangement comprising a threaded fastener (20) having a fastener shaft (21) and a fastener head (22), a biasing member (30), a first object (40) provided with a cavity (41) recessed in a reference surface (42) of the first object (40), wherein the cavity (41) has a bottom surface (43) provided with a through hole (44), and a second object (50) provided with a threaded hole (51). The through hole (44) is aligned with the threaded hole (51) and the threaded fastener (20) is arranged such that the fastener shaft (21) extends through the through hole (44) and is in threaded engagement with the threaded hole (51) of the second object (50). The biasing member (30) is arranged in the cavity (41) between the fastener head (22) and the bottom surface (43) of the cavity (41) and is configured to be compressed between the fastener head (22) and the bottom surface (43) of the cavity (41) in response to rotation of the threaded fastener (20) in a tightening direction. An alignment surface (11) of the threaded joint arrangement is movable by rotation of the threaded fastener (20) between a first position in which the alignment surface (11) is positioned outside the cavity (41) and a second position in which the alignment surface (11) is flush with the reference surface (42), wherein the biasing member (30) has a spring constant configured such that a tightening force of a predetermined level is obtained when the alignment surface (11) is in the second position.
","F21V21, F16B13, H02G3, F16M13, F16B31",2022
"Modular device particularly for automatic doors A modular device particularly usable for automatic doors, constituted by at least one sensor module (2) which can be associated with the door and can be connected by means of a cable (13) to a management module (15). The management module (15) is adapted to power and detect the number and type of the at least one sensor module (2) and the signal that arrives from it; the signal is processed to transfer it to a suitable actuation unit for moving the door. The separation between the sensor module (2) and the management module (15) allows to considerably reduce costs with respect to the use of conventional motion sensors.",E05F15,1999
"Image forming apparatus The invention is to provide a flat panel image forming apparatus capable of suppressing a fluctuation in an incident position of an electron beam resulting from a front-rear temperature difference generated in a panel, thereby capable of high-quality display not affected by such temperature difference.In an image forming apparatus in which a face plate (1) and a rear plate (2) are supported by a spacer (3), a heat resistance division ratio in a heat conduction path from the face plate (1) to the rear plate (2) is suppressed to 0.5 or less, to reduce an electrical resistance distribution on the spacer surface, resulting from a temperature distribution in a direction of height of the spacer (3) thereby suppressing a fluctuation in the incident position of the electron beam from an electron emitting device to an anode.
",H01J29,2006
"DRY POWDER PHARMACEUTICAL COMPOSITION FOR INHALATION There is provided a dry powder pharmaceutical composition for inhalation useful for preventing and/or treating influenza virus infections contains as a medicinal component a compound represented by formula (I):

and optionally a compound represented by formula (II):

, a pharmacologically acceptable salt thereof, or a hydrate thereof.","A61K9, A61K47, A61K31",2011
